set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
top,101329,2597,2715,6567,54547,754434,14891,30135,5415,3,3,0,1263,3,2,559.58,1,0,2,1,0,0,0,3
top,51398,2721,2855,6547,26443,839249,12595,25003,5423,3,3,0,2487,3,2,634.89,1,0,2,1,0,0,0,3
top,64807,2794,2869,6479,57231,820126,12679,35963,5419,3,3,0,1087,3,2,608.42,1,0,2,1,0,0,0,3
top,3481,2875,3064,6555,54559,817638,13251,30640,5375,3,3,0,1095,3,1,609.33,1,0,2,1,0,0,0,3
top,27061,2601,2725,6451,56611,746138,13255,32627,5271,3,3,0,1249,3,1,503.75,1,0,2,1,0,0,0,3
top,119737,2649,2769,13235,56407,767722,12691,29052,5383,3,3,0,1339,3,1,554.01,1,0,2,1,0,0,0,3
top,26241,2758,2900,6499,57536,803117,12718,38255,5360,3,3,0,1025,3,1,596.86,1,0,2,1,0,0,0,3
top,116641,2754,2902,6463,55431,776830,12859,35199,5291,3,3,0,1149,3,1,498.80,1,0,2,1,0,0,0,3
top,115821,2752,2865,6523,57482,793118,12834,34698,5303,3,3,0,1001,3,1,551.05,1,0,2,1,0,0,0,3
top,56539,2696,2805,6527,56243,781262,12675,32706,5335,3,3,0,1261,3,2,542.29,1,0,2,1,0,0,0,3
top,174397,2669,2859,6523,57395,763050,13100,35231,5255,3,3,0,1073,3,1,504.96,1,0,2,1,0,0,0,3
top,167631,2659,2782,6591,48020,780230,12938,29994,5402,3,3,0,1211,3,1,529.86,1,0,2,1,0,0,0,3
top,51741,2675,2796,6435,54383,774358,13243,35075,5427,3,3,0,1073,3,1,548.53,1,0,2,1,0,0,0,3
top,205671,2602,2734,6483,53535,741386,12799,32758,5338,3,3,0,1745,3,2,541.29,1,1,2,1,0,0,0,3
top,122842,2610,2735,6411,40008,779958,12715,28535,7475,3,3,0,1251,3,1,516.75,1,0,2,1,0,0,0,3
top,67935,2678,2799,6475,23083,826962,12943,27976,5455,3,3,0,2487,3,1,580.15,1,0,2,1,0,0,0,3
top,196401,2671,2793,6535,57499,782370,13275,26691,5403,3,3,0,1147,3,1,559.78,1,0,2,1,0,0,0,3
top,130665,2750,2897,9450,54947,764778,12971,27347,5311,3,3,0,1113,3,1,504.49,1,0,2,1,0,0,0,3
top,188861,2703,2828,6459,54635,794966,12963,32451,5387,3,3,0,1019,3,1,497.49,1,0,2,1,0,0,0,3
top,132890,2631,2742,6403,1899,810534,12807,32300,5399,3,3,0,1639,3,1,579.19,1,0,2,1,0,0,0,3
top,97591,2612,2738,6511,54459,750394,12715,30735,5323,3,3,0,1113,3,1,520.66,1,0,2,1,0,0,0,3
top,164527,2795,2891,15351,56371,780534,12727,29747,5383,3,3,0,1365,3,1,535.45,1,0,2,1,0,0,0,3
top,89767,2654,2811,6471,39956,771142,15439,27855,5411,3,3,0,1251,3,1,513.76,1,0,2,1,0,0,0,3
top,40031,2641,2753,6503,54483,774702,12927,27335,5311,3,3,0,1083,3,1,493.24,1,0,2,1,0,0,0,3
top,23492,2668,2770,6439,54231,784462,12739,35619,5355,3,3,0,1081,3,1,534.42,1,0,2,1,0,0,0,3
top,175454,2617,2726,6539,57031,746022,12679,39098,5351,3,3,0,1113,3,1,491.16,1,0,2,1,0,0,0,3
top,57241,2689,2827,7831,54775,769478,13167,29395,5271,3,3,0,1119,3,1,539.17,1,0,2,1,0,0,0,3
top,192781,2754,2866,10507,58636,796442,15656,27743,5311,3,3,0,1377,3,1,555.25,1,0,2,1,0,0,0,3
top,62036,2609,2747,6495,59927,741062,17919,30199,5363,3,3,0,1283,3,1,482.74,1,0,2,1,0,0,0,3
top,30160,2682,2801,6411,54659,788842,12647,24443,5379,3,3,0,1377,3,1,542.69,1,0,2,1,0,0,0,3
top,6956,2657,2773,6483,57112,781374,12783,29840,5259,3,3,0,1083,3,1,542.27,1,0,2,1,0,0,0,3
top,157511,2784,2909,8999,22211,838910,12895,44031,5491,3,3,0,2505,3,1,563.38,1,0,2,1,0,0,0,3
top,190904,2649,2746,13807,55512,750766,13087,33323,5355,3,3,0,1257,3,1,557.15,1,0,2,1,0,0,0,3
top,15061,2601,2710,6491,1927,794762,12767,38811,5395,3,3,0,1629,3,1,557.64,1,0,2,1,0,0,0,3
top,109592,2757,2905,6499,54519,818706,12895,29539,5415,3,3,0,1869,3,2,607.21,1,0,2,1,0,0,0,3
top,73075,2646,2784,6454,53935,761442,12647,30067,7979,3,3,0,2013,3,1,511.17,1,0,2,1,0,0,0,3
