class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3534,68748.7,67584,99328,113664,184695,9677.0,2790.4,1962.4,672.2,21547.3
2,0,2,286925.0,273408,301056,301056,300778,48144.0,30376.0,11686.0,1593.5,27669.0
2,1,2,27252.0,26624,28672,28672,28105,2922.5,1987.0,1771.0,0.0,0.0
3,0,53,270288.6,276480,304128,311296,311046,45726.8,28262.5,11733.2,1327.3,27115.2
3,1,53,31470.9,31744,41984,51200,50226,5015.0,1995.3,1979.0,21.9,1256.3
3,2,53,12467.3,10240,27648,29696,29656,3637.3,1720.9,358.2,28.4,1507.9
3,3,1,8054.0,8192,8192,8192,8054,2995.0,1443.0,189.0,0.0,0.0
