set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
top,9039,2696,2824,6479,53939,770286,12647,37399,8103,3,3,0,1545,3,1,553.52,1,0,2,1,0,0,0,3
top,140688,2716,2832,6527,24655,820746,12586,37622,5430,2,2,0,1816,2,2,592.48,1,0,2,1,0,0,0,2
top,37410,2740,2842,6491,53978,796498,15522,32163,5383,3,3,0,1581,3,1,541.27,1,0,2,1,0,0,0,3
top,14829,2642,2753,6435,53135,775914,14491,26835,5311,3,3,0,1457,3,1,539.10,1,1,2,1,0,0,0,3
top,95889,2686,2785,6403,1939,829230,12831,49159,5439,3,3,0,1773,3,1,579.62,1,0,2,1,0,0,0,3
top,144639,2734,2840,6519,1899,830594,15255,49015,5371,3,3,0,1773,3,1,571.96,1,0,2,1,0,0,0,3
top,190970,2645,2795,6575,53935,758278,12791,25116,5427,3,3,0,1209,3,1,560.99,1,0,2,1,0,0,0,3
top,193389,2655,2737,6439,1891,799106,22367,41003,5367,3,3,0,1773,3,1,528.59,1,0,2,1,0,0,0,3
top,44720,2639,2760,6523,53875,765914,12919,30063,10759,3,3,0,1209,3,1,513.51,1,0,2,1,0,0,0,3
top,186036,2729,2843,6479,53971,808558,15511,27795,7567,3,3,0,1947,3,2,630.70,1,0,2,1,0,0,0,3
top,205566,2725,2827,6467,53867,796278,12543,33067,5367,3,3,0,1181,3,1,543.49,1,0,2,1,0,0,0,3
top,101286,2748,2853,6491,53911,809030,16131,30044,5467,3,3,0,1947,3,2,608.83,1,0,2,1,0,0,0,3
top,208550,2725,2857,12051,53903,772850,17491,33351,5307,3,3,0,1251,3,1,517.31,1,0,2,1,0,0,0,3
top,27039,2646,2754,6407,56639,758326,12679,32371,8143,3,3,0,1545,3,1,529.46,1,0,2,1,0,0,0,3
top,28566,2659,2763,6495,53867,775578,12743,33015,5534,3,3,0,1181,3,1,566.00,1,0,2,1,0,0,0,3
top,65139,2839,2914,6427,1919,816982,12591,51575,5383,3,3,0,1773,3,1,550.42,1,0,2,1,0,0,0,3
top,124220,2701,2798,6467,53915,760445,15735,35011,5407,3,3,0,1209,3,1,490.39,1,0,2,1,0,0,0,3
top,155289,2659,2773,6543,53911,773798,13116,29939,5411,3,3,0,1545,3,1,557.05,1,0,2,1,0,0,0,3
top,216786,2787,2902,6463,53963,828758,13119,28063,8195,3,3,0,1947,3,2,659.59,1,0,2,1,0,0,0,3
top,8720,2716,2837,6411,56615,787961,12579,37399,5455,3,3,0,1209,3,1,547.28,1,0,2,1,0,0,0,3
top,142220,2702,2815,6443,53907,783782,12587,40863,5419,3,3,0,1209,3,1,556.26,1,0,2,1,0,0,0,3
top,209829,2681,2795,6487,53095,791690,12991,28575,5243,3,3,0,1457,3,1,574.92,1,1,2,1,0,0,0,3
top,92323,2631,2738,6515,59499,771582,13011,25391,5391,3,3,0,2339,3,1,579.07,1,0,2,1,0,0,0,3
top,157704,2660,2771,6639,55803,759506,12607,39571,5431,3,3,0,1307,3,1,566.01,1,0,2,1,0,0,0,3
top,220573,2676,2779,6495,53931,785646,12618,27714,5343,3,3,0,2339,3,1,602.91,1,0,2,1,0,0,0,3
top,80300,2685,2792,8051,53923,754626,32460,39779,5295,3,3,0,1251,3,1,500.79,1,0,2,1,0,0,0,3
top,119286,2785,2885,6503,53927,822486,13175,33284,5507,3,3,0,1947,3,2,625.89,1,0,2,1,0,0,0,3
top,202187,2798,2903,6483,24551,825338,15323,33147,8215,3,3,0,2661,3,1,600.46,1,0,2,1,0,0,0,3
top,77611,2648,2762,6395,53127,756942,12671,41347,5703,3,3,0,1769,3,2,574.92,1,1,2,1,0,0,0,3
top,183660,2633,2730,6475,56647,760286,12739,33072,5383,3,3,0,1581,3,1,616.83,1,0,2,1,0,0,0,3
top,75470,2706,2817,6551,53943,755378,24201,45515,5403,3,3,0,1209,3,1,513.78,1,0,2,1,0,0,0,3
top,134910,2646,2757,6535,53947,764242,12594,33867,5407,3,3,0,1581,3,1,513.93,1,0,2,1,0,0,0,3
top,191289,2635,2733,6379,53923,743386,18160,34167,5431,3,3,0,1545,3,1,521.60,1,0,2,1,0,0,0,3
top,159024,2664,2762,6495,53179,774478,12563,35644,5319,3,3,0,1357,3,1,549.74,1,0,2,1,0,0,0,3
top,106539,2655,2782,6395,56551,763446,18859,30175,5395,3,3,0,1545,3,1,499.10,1,0,2,1,0,0,0,3
top,164454,2644,2750,6535,21895,799422,13008,38431,5403,3,3,0,1379,3,1,557.92,1,0,2,1,0,0,0,3
top,21786,2824,2910,10899,53963,833646,13175,30535,8167,3,3,0,1947,3,2,629.99,1,0,2,1,0,0,0,3
top,173289,2746,2880,6547,56619,785262,18719,33403,5455,3,3,0,1545,3,1,558.45,1,0,2,1,0,0,0,3
top,86160,2642,2746,6487,53951,763194,12619,33119,5491,3,3,0,1581,3,1,556.71,1,0,2,1,0,0,0,3
top,198786,2782,2879,6447,53951,824646,13127,24843,5451,3,3,0,1947,3,2,637.08,1,0,2,1,0,0,0,3
top,154970,2684,2796,6523,53900,775158,12711,28083,5367,3,3,0,1209,3,1,543.05,1,0,2,1,0,0,0,3
top,39786,2789,2907,6611,53943,824846,12971,29979,5467,3,3,0,1947,3,2,621.88,1,0,2,1,0,0,0,3
top,126066,2649,2752,6555,53875,776926,12543,27615,5394,3,3,0,1181,3,1,542.50,1,0,2,1,0,0,0,3
top,171437,2765,2870,13903,24159,829210,12655,32559,5506,3,3,0,2661,3,1,603.18,1,0,2,1,0,0,0,3
top,124539,2631,2744,6491,53919,761586,12650,34107,5475,3,3,0,1545,3,1,498.18,1,0,2,1,0,0,0,3
top,223566,2636,2731,6535,56627,764654,15239,33195,5495,3,3,0,1181,3,1,505.60,1,0,2,1,0,0,0,3
top,207774,2691,2794,6455,53195,791618,12991,27432,7995,3,3,0,1357,3,1,572.95,1,0,2,1,0,0,0,3
top,202573,2712,2824,9143,53919,791438,15355,30271,5331,3,3,0,2339,3,1,595.91,1,0,2,1,0,0,0,3
top,211389,2639,2750,6435,1923,809886,12667,41967,8099,3,3,0,1773,3,1,581.65,1,0,2,1,0,0,0,3
top,63579,2754,2872,6491,53099,807450,18331,27667,6815,3,3,0,1457,3,1,576.78,1,1,2,1,0,0,0,3
top,122688,2641,2746,6415,21971,807802,13111,31144,5475,2,2,0,1816,2,2,584.10,1,0,2,1,0,0,0,2
top,196410,2677,2797,6475,53915,766238,12619,37103,5391,3,3,0,1581,3,1,509.17,1,0,2,1,0,0,0,3
top,3786,2783,2873,6395,59299,808713,13343,35434,5383,3,3,0,1947,3,2,623.26,1,0,2,1,0,0,0,3
top,50160,2651,2762,6507,53943,775734,12599,31395,5383,3,3,0,1581,3,1,522.75,1,0,2,1,0,0,0,3
top,32829,2691,2818,6499,55831,786858,14351,32192,5263,3,3,0,1457,3,1,550.72,1,1,2,1,0,0,0,3
top,161079,2775,2939,6471,53115,819438,12647,25043,5239,3,3,0,1457,3,1,535.23,1,1,2,1,0,0,0,3
top,189823,2683,2788,6439,53931,795922,13106,24771,5343,3,3,0,2339,3,1,583.87,1,0,2,1,0,0,0,3
top,55938,2681,2793,6491,21907,810762,12618,39019,6891,2,2,0,1816,2,2,595.74,1,0,2,1,0,0,0,2
top,168036,2790,2903,6451,53995,830606,12579,27711,5439,3,3,0,1947,3,2,614.61,1,0,2,1,0,0,0,3
top,153438,2657,2756,6531,21979,794257,12632,36042,5451,2,2,0,1816,2,2,586.42,1,0,2,1,0,0,0,2
top,81579,2709,2816,6507,53119,790558,12674,25111,5271,3,3,0,1457,3,1,557.30,1,1,2,1,0,0,0,3
top,150036,2840,2951,6419,56599,839226,12555,32479,7491,3,3,0,1947,3,2,631.42,1,0,2,1,0,0,0,3
top,88536,2775,2887,6451,53991,819806,12756,27351,5443,3,3,0,1947,3,2,627.96,1,0,2,1,0,0,0,3
top,43573,2689,2787,6395,53931,793858,12615,27152,5347,3,3,0,2339,3,1,596.32,1,0,2,1,0,0,0,3
top,179079,2716,2844,6555,53107,789046,12671,33295,5323,3,3,0,1457,3,1,541.57,1,1,2,1,0,0,0,3
top,137286,2730,2829,6507,53983,803694,16082,27580,5443,3,3,0,1947,3,2,597.10,1,0,2,1,0,0,0,3
top,171823,2632,2751,6383,53915,770414,13111,29843,5387,3,3,0,2339,3,1,565.99,1,0,2,1,0,0,0,3
top,112329,2764,2882,6547,55819,798118,13419,32740,5239,3,3,0,1457,3,1,538.49,1,1,2,1,0,0,0,3
