set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
top,9251,1335,1485,6435,59576,292794,12719,26820,5307,1,1,0,433,1,1,173.02,1,0,2,1,0,0,0,4,136725,117935,51332,41875,4132,3101,2989,35600
top,25704,1308,1436,6463,56095,219430,13047,27460,5395,1,1,0,365,1,1,126.03,1,0,2,0,0,0,0,4,79993,74573,46357,23109,288,2418,3003,16702
top,8808,1299,1440,17359,53915,193216,12691,27691,5411,0,0,0,0,0,0,0.00,0,0,2,0,0,0,0,3,57817,50789,36967,28571,0,0,0,0
top,9059,1302,1481,12424,53191,201218,35282,49291,5279,1,1,0,319,1,0,18.82,0,0,2,0,0,0,0,4,45951,34017,45791,20386,298,3094,0,0
top,13621,2748,2918,6423,53199,810894,12684,33555,5387,3,3,0,1385,3,1,582.66,1,0,2,1,0,0,0,3,443077,380820,124627,98697,11529,30965,14957,62138
top,33261,2517,2666,6439,21827,758046,12627,25091,5399,3,3,0,1285,3,1,507.92,1,0,2,1,0,0,0,3,411515,359769,125786,95201,14372,21644,14912,54393
top,8301,2624,2801,6483,53623,761582,12719,25050,5335,3,3,0,1419,3,1,540.35,1,0,2,1,0,0,0,3,400695,348821,137463,83247,11542,28940,14914,54335
top,13800,1301,1394,6523,56591,223794,12670,28459,5399,1,1,0,425,1,1,99.26,1,0,2,0,0,0,0,4,84671,71267,43018,30689,270,2408,301,19382
top,17512,1299,1440,6391,56523,233262,12647,24200,5443,1,1,0,411,1,1,200.63,1,0,2,0,0,0,0,4,103845,93265,33485,14979,274,2434,11086,46183
top,40680,1310,1464,13811,53988,196295,13163,25919,5411,1,1,0,407,1,0,20.45,0,0,2,1,0,0,0,4,64195,45407,36071,28373,274,5259,0,0
top,8012,2657,2819,6463,53887,782678,12703,24583,5375,3,3,0,1113,3,1,584.29,1,0,2,1,0,0,0,3,422927,367384,122771,87535,9958,30921,17589,62812
top,41088,2617,2740,6516,56690,749469,12807,24799,5447,3,3,0,1113,3,1,516.46,1,0,2,1,0,0,0,3,397077,348037,119409,95046,10677,27897,14939,43869
top,39702,1295,1445,6435,55811,297965,12663,25251,5363,1,1,0,805,1,1,164.15,1,0,2,0,0,0,0,4,137649,117991,67343,43099,5750,2994,316,32509
top,26521,2551,2678,6463,53127,738394,12803,27928,5447,3,3,0,1389,3,2,560.35,1,0,2,1,0,0,0,3,421045,368322,106391,93433,11545,29996,12510,64832
top,9704,2737,2885,6431,56951,759142,12799,27328,5375,3,3,0,1021,3,1,562.87,1,0,2,1,0,0,0,3,423971,361613,110063,87459,9980,28767,14949,59765
top,20016,2781,2915,6467,53827,825222,13039,24478,8059,3,3,0,1093,3,2,642.81,1,0,2,1,0,0,0,3,461707,399158,127529,90731,11576,34721,21092,73252
top,15820,2328,2498,6583,1839,695714,12911,37867,5395,2,2,0,1514,2,1,472.24,1,0,2,1,0,0,0,2,369221,317114,109161,80352,11241,20740,17692,36029
top,16724,2519,2650,6551,21827,762458,12695,27143,10811,3,3,0,1285,3,1,519.60,1,0,2,1,0,0,0,3,409775,365222,127317,100285,11548,28202,17613,46407
top,28776,1332,1486,6450,61167,226674,12607,25980,5499,1,1,0,435,1,1,96.33,1,0,2,0,0,0,0,3,79941,71931,45959,31121,288,2382,2997,24844
top,13864,1316,1464,25589,59111,184100,12926,25236,5351,1,1,0,427,1,0,14.45,0,0,2,0,0,0,0,4,45663,37661,37950,15007,10876,3091,0,0
top,6607,2676,2829,6523,21879,830182,12739,24503,5331,3,3,0,2495,3,2,640.59,1,0,2,1,0,0,0,3,465217,405656,121327,87778,11575,36981,20606,72845
top,23491,2695,2857,6411,59311,772710,12775,27951,5443,3,3,0,1077,3,1,498.19,1,0,2,1,0,0,0,3,399129,339447,122639,86271,11542,31352,6769,43400
top,25608,1316,1456,6418,53223,280075,13159,24659,5331,1,1,0,327,1,0,49.02,0,0,2,0,0,0,0,4,85349,69231,46215,25283,304,3114,0,0
top,24549,2635,2806,6463,56023,756505,12743,27607,5339,3,3,0,1113,3,1,545.66,1,0,2,1,0,0,0,3,414437,355531,106053,89359,11711,23268,14910,57306
top,30159,2741,2931,6527,53087,785284,12715,28359,5379,3,3,0,1385,3,1,562.75,1,0,2,1,0,0,0,3,428703,369097,124133,90342,11626,25892,16933,54425
top,9001,1309,1410,10417,59979,232003,13015,25735,5403,0,0,0,0,0,0,0.00,0,0,2,1,0,0,0,4,58030,45491,46124,25763,0,0,0,0
top,1032,1358,1490,6443,55879,291705,17335,28519,5399,1,1,0,401,1,1,270.27,1,0,2,0,0,0,0,4,139841,134321,34781,22832,2996,3078,4526,27692
top,30683,1305,1440,6483,58515,249190,12823,54067,11607,1,1,0,429,1,1,188.43,1,0,2,0,0,0,0,4,113245,105065,38285,31098,278,3112,3005,25013
top,11329,2480,2643,6431,1859,751541,12774,31091,5363,2,2,0,1054,2,1,582.57,1,0,2,1,0,0,0,2,408131,354570,101975,77116,11254,25649,22956,60189
top,708,2659,2805,6531,53863,777526,12967,28031,5339,3,3,0,1173,3,1,545.74,1,0,2,1,0,0,0,3,422071,363948,116759,91485,11507,33298,14954,49141
top,32215,1907,2063,6423,1891,563846,12698,24347,5423,3,3,0,1045,3,2,391.87,1,0,2,1,0,0,0,3,289191,252344,84123,73949,8900,6475,11412,49046
top,11748,2680,2850,6427,53207,791525,13048,25427,5315,3,3,0,1263,3,2,606.83,1,0,2,1,0,0,0,3,428451,375672,132687,88869,7460,34941,17901,62655
top,17826,2532,2659,6535,53084,706518,12831,27495,5363,3,3,0,1367,3,1,475.04,1,0,2,1,0,0,0,3,375575,331794,104577,92721,11553,18649,9482,43562
