class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,17930,63267.0,62464,89088,100352,138758,4386.3,3261.2,528.7,1492.4,19757.8
2,0,22,241778.3,246784,275456,291840,291095,16716.1,35992.8,8729.9,3761.1,25705.8
2,1,22,27158.5,28672,32768,33792,33101,3342.5,2417.5,4263.5,36.8,2199.1
3,0,272,241646.5,249856,277504,286720,296565,17601.1,35705.6,9398.9,3383.6,23607.2
3,1,272,27211.1,28672,34816,38912,46642,3809.6,1983.3,4467.8,17.6,1005.3
3,2,272,11319.3,9216,27648,30720,30771,3053.6,1801.4,436.4,25.9,1248.9
3,3,8,14027.5,10240,30720,30720,30383,3482.4,2134.1,155.0,411.2,4058.0
