class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3528,87454.9,86016,122880,142336,198540,5337.2,3997.8,1916.3,2136.2,21821.6
2,0,4,272333.8,265216,299008,299008,298465,24213.8,41731.5,14526.0,2122.5,26249.8
2,1,4,26944.8,27648,29696,29696,28791,3121.8,2210.8,5235.5,0.0,0.0
3,0,52,262581.2,268288,288768,303104,302291,22776.2,38057.8,13339.4,2728.1,26577.7
3,1,52,28237.2,28672,34816,41984,40999,3716.1,2001.2,4498.7,32.3,1858.7
3,2,52,12193.2,9216,27648,27648,27533,3170.8,1769.2,575.4,26.8,1561.7
