set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices
miss,114419,2495,2623,6439,54407,713090,15663,28139,5363,3,3,0,1419,3,1,484.74,1,0,2,1,0,0,0,3
miss,115093,2262,2387,6515,57335,624346,13187,27935,5327,3,3,0,983,3,1,422.46,1,0,2,1,0,0,0,3
miss,115820,2710,2821,6543,54387,810234,12691,25201,5299,3,3,0,1001,3,1,547.33,1,0,2,1,0,0,0,3
miss,116018,1808,1908,10451,3587,514977,12723,25049,5355,3,3,0,1853,3,2,409.42,1,0,2,1,0,0,0,3
miss,116089,2519,2632,6351,53433,727706,12806,27636,5363,2,2,0,1020,2,2,529.14,1,1,2,1,0,0,0,2
miss,116639,2581,2757,6463,56440,726378,12970,48395,5351,3,3,0,1239,3,1,546.05,1,0,2,1,0,0,0,3
miss,116923,2479,2592,6439,56337,718806,12763,24951,5339,3,3,0,1135,3,1,472.96,1,0,2,1,0,0,0,3
miss,117440,2418,2520,6428,1906,736269,12759,29501,5323,3,3,0,1541,3,1,544.38,1,0,2,1,0,0,0,3
miss,117863,2792,2934,9079,53905,743886,13072,30533,5399,3,3,0,2013,3,1,539.98,1,0,2,1,0,0,0,3
miss,118560,2628,2753,8575,61507,747938,12747,38519,5487,3,3,0,1083,3,1,483.87,1,0,2,1,0,0,0,3
miss,119735,2615,2741,6359,53851,773642,12779,30789,5335,3,3,0,1339,3,1,567.35,1,0,2,1,0,0,0,3
miss,121171,2485,2590,6419,1895,776754,13079,29667,5299,3,3,0,1637,3,1,596.98,1,0,2,1,0,0,0,3
miss,121793,1961,2061,6439,1895,573325,12743,33141,5315,3,3,0,1049,3,2,444.69,1,0,2,1,0,0,0,3
miss,121933,2302,2414,6519,4535,700270,12715,27381,5359,2,2,0,1530,2,1,538.54,1,0,2,1,0,0,0,2
miss,121959,2105,2257,6411,1875,547594,19042,38023,5343,2,2,0,1296,2,1,488.06,1,1,2,1,0,0,0,2
miss,122011,2419,2552,6423,54519,681838,13288,38027,5311,3,3,0,1067,3,1,560.48,1,0,2,1,0,0,0,3
miss,122023,1575,1666,6491,68055,307718,13079,25413,5431,1,1,0,359,1,1,245.39,1,0,2,1,0,0,0,4
miss,122279,2141,2254,6483,53643,515486,12927,42931,5296,2,2,0,930,2,2,454.17,1,1,2,1,0,0,0,2
miss,122839,2549,2661,6463,22896,770634,12739,32429,5279,3,3,0,1267,3,1,556.81,1,0,2,1,0,0,0,3
miss,123361,2601,2748,6447,57397,757686,13075,28835,5327,3,3,0,1247,3,1,541.41,1,0,2,1,0,0,0,3
miss,123527,2374,2484,6427,22889,705550,12968,33649,5407,3,3,0,1155,3,1,533.77,1,0,2,1,0,0,0,3
miss,123947,2383,2546,6503,58006,667506,12727,25483,5259,2,2,0,940,2,1,478.42,1,0,2,1,0,0,0,2
miss,126128,2824,2950,6527,54299,809270,13152,46983,7127,3,3,0,1089,3,1,610.24,1,0,2,1,0,0,0,3
miss,129257,2757,2882,6475,25339,841786,15483,28177,5411,3,3,0,2445,3,1,634.56,1,0,2,1,0,0,0,3
miss,129605,2540,2686,9131,54415,734302,12919,31650,5315,3,3,0,1079,3,1,530.26,1,0,2,1,0,0,0,3
miss,130663,2834,2938,6506,60413,772054,15683,38937,5403,3,3,0,1113,3,1,534.83,1,0,2,1,0,0,0,3
miss,130955,2589,2709,6471,54571,747082,12717,32551,5295,3,3,0,1443,3,1,493.99,1,0,2,1,0,0,0,3
miss,131629,2253,2386,6523,59923,620054,13175,27241,5266,3,3,0,1137,3,1,413.95,1,0,2,1,0,0,0,3
miss,132887,2451,2566,6391,2243,754153,12782,29076,5338,3,3,0,1639,3,1,543.22,1,0,2,1,0,0,0,3
miss,133163,2071,2204,6563,60013,546170,12979,31129,5246,3,3,0,2119,3,1,418.41,1,0,2,1,0,0,0,3
miss,133505,1800,1927,6459,3475,508066,12811,31089,5375,3,3,0,1071,3,2,307.65,1,0,2,1,0,0,0,3
miss,133650,2444,2548,6435,1943,743742,12611,35231,5407,3,3,0,2277,3,1,528.84,1,1,2,1,0,0,0,2
miss,133722,2280,2370,6490,54615,623566,12827,33291,5399,3,3,0,1061,3,1,414.04,1,0,2,1,0,0,0,3
miss,133992,2031,2222,6451,54276,555970,12831,27398,5379,3,3,0,1403,3,1,382.02,1,1,2,1,0,0,0,3
miss,134555,2574,2677,6444,59558,726430,13339,45619,5403,3,3,0,1195,3,1,528.23,1,0,2,1,0,0,0,3
miss,135090,2491,2633,6567,59791,720370,12879,25015,5319,2,2,0,806,2,1,573.30,1,0,2,1,0,0,0,2
miss,135241,2174,2308,6435,22889,640134,13179,27515,5347,3,3,0,1155,3,1,451.54,1,0,2,1,0,0,0,3
miss,135659,2471,2581,6407,57364,703506,12723,35516,5347,3,3,0,1335,3,1,516.74,1,0,2,1,0,0,0,3
miss,137844,2711,2845,6483,57201,802562,12679,27213,5399,3,3,0,1089,3,2,631.18,1,0,2,1,0,0,0,3
miss,140971,2681,2795,6387,22167,831530,12731,25041,5367,3,3,0,2505,3,1,627.46,1,0,2,1,0,0,0,3
miss,141319,2616,2750,6411,59867,752666,13059,37923,5359,3,3,0,1073,3,1,548.41,1,0,2,1,0,0,0,3
miss,142379,2644,2762,6395,54433,764658,12739,38425,5387,3,3,0,1113,3,1,553.59,1,0,2,1,0,0,0,3
miss,142667,2716,2812,6423,62433,770118,13304,41389,5399,3,3,0,1423,3,1,556.05,1,0,2,1,0,0,0,3
miss,143359,2491,2617,6691,59274,708534,12863,29011,5423,3,3,0,957,3,1,539.73,1,0,2,1,0,0,0,3
miss,144073,2632,2757,6387,57047,771778,13100,26987,5359,3,3,0,1097,3,1,569.81,1,0,2,1,0,0,0,3
miss,144353,2544,2641,8823,54007,727434,12811,29755,5347,3,3,0,1405,3,1,517.23,1,1,2,1,0,0,0,3
miss,144887,2594,2717,9127,56641,744230,12779,35279,5383,3,3,0,1133,3,1,527.19,1,0,2,1,0,0,0,3
miss,145175,2475,2575,6399,56715,707174,12871,29491,5347,3,3,0,1081,3,1,481.43,1,0,2,1,0,0,0,3
miss,145693,2454,2544,6459,4583,748506,12763,32929,8219,3,3,0,1495,3,1,501.43,1,0,2,1,0,0,0,3
miss,146100,2622,2754,6507,53888,765690,12810,30210,5306,3,3,0,1211,3,1,534.66,1,0,2,1,0,0,0,3
miss,146814,2644,2754,6403,57283,749002,13303,49695,5315,3,3,0,1065,3,1,515.39,1,0,2,1,0,0,0,3
miss,147989,2749,2951,6435,57252,783186,12727,39239,5331,3,3,0,1365,3,1,537.69,1,0,2,1,0,0,0,3
miss,149424,2479,2583,6391,1951,771782,15219,30317,5203,3,3,0,1639,3,1,546.46,1,0,2,1,0,0,0,3
miss,149701,1996,2114,6455,54397,537978,15844,27899,5339,3,3,0,1233,3,1,407.64,1,1,2,1,0,0,0,3
miss,150043,1861,1971,6551,1960,541457,12776,29495,5339,3,3,0,1071,3,1,263.93,1,0,2,1,0,0,0,3
miss,150186,2304,2414,6475,1859,703194,12662,30396,5403,3,3,0,2277,3,1,492.14,1,0,2,1,0,0,0,2
miss,150259,2341,2453,6451,54568,669454,12963,26902,5388,3,3,0,1061,3,1,486.51,1,0,2,1,0,0,0,3
miss,150529,2243,2384,6531,56707,611170,13131,41047,5363,3,3,0,2245,3,2,449.34,1,1,2,1,0,0,0,3
miss,151093,2561,2672,6431,56465,737242,13236,32775,5431,3,3,0,1195,3,1,493.33,1,0,2,1,0,0,0,3
miss,151628,2564,2711,6479,55995,735950,12886,29159,5247,3,3,0,1209,3,1,508.15,1,0,2,1,0,0,0,3
miss,151778,2394,2512,11091,23817,697150,12814,32899,5414,3,3,0,1269,3,1,458.65,1,0,2,1,0,0,0,3
