class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3531,82708.0,81920,114688,132096,181199,11298.8,2839.2,5553.5,1214.5,22135.4
2,0,2,237273.0,188416,287744,287744,287055,38331.0,4240.5,12446.0,9147.5,37219.5
2,1,2,28152.5,27648,29696,29696,29115,3862.5,2242.0,938.5,152.5,8104.5
3,0,53,291720.7,297984,331776,344064,343121,48424.3,4691.9,13345.5,12844.0,50832.4
3,1,53,29937.4,29696,34816,37888,37000,4414.9,1956.9,1609.3,21.7,1254.4
3,2,53,13343.3,10240,28672,30720,30372,3532.0,1804.5,309.6,38.8,2170.8
3,3,2,9412.5,8192,11264,11264,10739,3746.5,1910.5,205.5,0.0,0.0
