class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3534,74256.1,72704,105472,125952,182708,11268.9,3221.6,2199.5,1551.2,23255.1
2,0,2,285103.5,264192,307200,307200,306515,45518.5,16761.5,11113.0,11085.5,53633.0
2,1,2,30511.0,29696,31744,31744,31456,4474.5,1796.0,1774.5,0.0,0.0
3,0,54,303564.0,311296,354304,366592,365571,47887.2,24288.5,11689.4,10831.9,52268.0
3,1,54,30626.8,29696,38912,45056,44509,4643.1,1988.0,1663.4,20.5,1275.1
3,2,54,12274.6,9216,30720,30720,30687,3141.6,1782.6,360.9,59.0,1772.9
3,3,2,8998.5,8192,10240,10240,10035,3367.0,1904.5,206.0,0.0,0.0
