class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3532,78003.9,75776,111616,132096,208048,11426.7,4351.2,1380.2,1511.2,24788.8
2,0,2,272010.0,218112,327680,327680,326712,61712.5,12231.0,8497.0,11310.5,34706.0
2,1,2,27994.0,27648,29696,29696,28883,3841.0,2199.0,906.5,131.5,7996.5
3,0,53,331273.2,337920,374784,379904,379540,71391.2,25847.7,10943.1,10203.3,49203.6
3,1,53,26649.4,27648,31744,34816,34405,4382.2,1899.7,1696.7,14.8,907.0
3,2,53,12096.1,9216,28672,31744,31727,3200.4,1836.9,271.8,54.8,1590.2
3,3,2,9230.0,9216,10240,10240,10144,3446.0,1898.0,191.0,0.0,0.0
