class,ordinal,count,add_mean_cycles,add_p50_bound,add_p95_bound,add_p99_bound,add_max_cycles,select_mean_cycles,near_mean_cycles,lookup_mean_cycles,poly_mean_cycles,gain_mean_cycles
1,0,3533,66288.0,65536,93184,106496,130992,4727.3,3196.4,1703.6,1276.7,21097.2
2,0,2,190290.0,147456,234496,234496,233793,14424.0,21605.5,9093.0,3027.0,25020.5
2,1,2,24910.0,21504,28672,28672,28402,3608.0,2169.5,1518.0,133.0,7991.5
3,0,53,241813.5,248832,273408,276480,275923,16377.8,30384.3,14320.0,3111.5,26812.2
3,1,53,25503.6,25600,32768,38912,38640,3651.9,1966.5,3861.1,20.9,1216.3
3,2,53,11201.8,9216,28672,29696,29300,3160.7,1817.2,465.0,21.0,1249.4
3,3,1,7811.0,8192,8192,8192,7811,2834.0,1453.0,190.0,0.0,0.0
