set,block,dsp_us,cycle_us,input_cycles,comp_cycles,harmony_cycles,delay_cycles,reverb_cycles,master_cycles,new_grains,active_grains,source_grains,grain_samples,model_lookups,model_expensive,model_warp_us,formant_changed,pitch_changed,track_state,fallback,recovery,fir_computed,fir_reused,deferred_slices,psola_sched_cycles,psola_addgrain_cycles,psola_deferred_cycles,psola_mark_cycles,psola_desc_cycles,psola_near_cycles,psola_poly_cycles,psola_gn_cycles
miss,142667,2606,3438,6459,56275,756834,13000,25547,5315,3,3,0,1423,3,1,490.15,1,0,2,1,0,0,0,3,401399,347305,97978,91945,8845,30205,12639,43898
miss,143359,2519,3351,6703,54031,722909,12623,23935,5407,3,3,0,957,3,1,465.56,1,0,2,1,0,0,0,3,381787,335505,107752,99247,11701,23384,15323,35668
miss,144073,2594,3366,6419,54179,762338,13072,30423,5443,3,3,0,1097,3,1,528.85,1,0,2,1,0,0,0,3,429973,369619,104850,96927,11617,22966,18058,43600
miss,144353,2465,3266,6498,55891,708110,12662,25623,5319,3,3,0,1405,3,1,480.54,1,1,2,1,0,0,0,3,386683,334948,106709,89791,12038,23085,15342,34338
miss,144887,2566,3390,9310,58395,743598,12738,25771,5291,3,3,0,1133,3,1,501.18,1,0,2,1,0,0,0,3,400741,348959,109142,90793,11572,27747,15368,39886
miss,145175,2449,3228,6355,53195,701358,12742,24890,5451,3,3,0,1081,3,1,477.16,1,0,2,1,0,0,0,3,385441,338940,96170,89279,11571,20427,15367,41034
miss,145693,2487,3343,6543,1902,760200,12831,27059,5359,3,3,0,1495,3,1,486.84,1,0,2,1,0,0,0,3,398715,343975,110766,89117,11684,30173,12658,40528
miss,146100,2544,3183,6483,57030,734954,12739,24195,5359,3,3,0,1211,3,1,474.12,1,0,2,1,0,0,0,3,397967,347776,102354,92047,11721,25249,12618,38052
miss,146814,2512,3309,6411,56652,717142,13079,30067,5388,3,3,0,1065,3,1,475.93,1,0,2,1,0,0,0,3,387871,335988,101598,93711,9157,25514,12676,43806
miss,147989,2670,3554,6846,55675,782458,12723,27155,5403,3,3,0,1365,3,1,544.24,1,0,2,1,0,0,0,3,415817,366590,120015,83162,12012,32911,17994,47412
miss,149423,2432,3413,10587,1827,747725,12675,27931,5295,2,2,0,1082,2,1,527.65,1,0,2,1,0,0,0,2,399733,347886,99217,83628,11311,28119,18100,48668
miss,149700,2064,2861,6507,53870,562374,12838,25155,5379,3,3,0,2123,3,2,396.90,1,1,2,1,0,0,0,3,297854,259090,91474,65443,9004,16251,11382,53132
miss,150042,1791,2768,6507,1875,513910,12887,24451,5323,3,3,0,1071,3,1,309.43,1,0,2,1,0,0,0,3,277987,231356,68247,75283,8853,10204,329,25830
miss,150186,2322,3207,6463,1851,712358,12655,25470,5422,3,3,0,2277,3,1,496.51,1,0,2,1,0,0,0,2,378367,332056,100187,80321,8889,21969,15377,47758
miss,150259,2534,3369,6551,59411,731826,13170,24206,5452,3,3,0,1061,3,1,508.88,1,0,2,1,0,0,0,3,397843,348876,92986,82931,9189,28740,19208,43766
miss,150529,2189,3057,6524,53058,609418,12831,25027,5355,3,3,0,2245,3,2,531.72,1,1,2,1,0,0,0,3,361723,304167,67985,54099,9093,32015,12918,71236
miss,151093,2622,3495,6464,55782,764681,13108,27991,8135,3,3,0,1195,3,1,533.57,1,0,2,1,0,0,0,3,415627,363869,107492,93191,11695,35842,18090,46148
miss,151628,2587,3452,6583,53975,727626,12619,30451,7907,3,3,0,1209,3,1,497.38,1,0,2,1,0,0,0,3,388619,342175,94407,89277,12123,33311,9924,46228
miss,151779,2450,3313,6423,21987,734994,12923,30147,5351,3,3,0,1155,3,1,515.29,1,0,2,1,0,0,0,3,386017,334181,120352,85099,6404,30366,12650,46046
miss,152195,2592,3379,8899,54503,709622,12703,26891,5347,3,3,0,1335,3,1,486.96,1,0,2,1,0,0,0,3,378935,327147,86462,87065,6883,26518,12654,41548
miss,154380,2793,3626,7443,56195,825126,12698,24231,8239,3,3,0,1869,3,2,615.14,1,0,2,1,0,0,0,3,471139,404950,112301,97187,11780,28451,18360,68093
miss,157509,2775,3663,6387,21827,827894,20303,38151,7039,3,3,0,2505,3,1,578.39,1,0,2,1,0,0,0,3,445319,393220,114093,94145,11971,33354,18058,51512
miss,157859,2674,3529,6515,61611,763213,13011,31727,5331,3,3,0,1065,3,1,529.89,1,0,2,1,0,0,0,3,412433,357733,108603,83866,9614,25345,15296,51502
miss,158915,2622,3465,6430,56682,766754,12695,24235,5327,3,3,0,1113,3,1,537.30,1,0,2,1,0,0,0,3,414015,362395,110080,89331,11732,28820,15728,43610
miss,159204,2448,3272,9155,53263,701832,13096,26863,5251,3,3,0,1423,3,1,439.61,1,0,2,1,0,0,0,3,372193,320479,98901,89003,11644,26225,12648,38102
miss,159899,2672,3461,6483,59363,770666,12939,24495,5415,3,3,0,953,3,2,525.79,1,0,2,1,0,0,0,3,410147,358222,107546,96407,11664,16955,10622,59862
miss,160609,2585,3446,6523,53951,756850,13079,24346,5374,3,3,0,1017,3,1,523.13,1,0,2,1,0,0,0,3,403811,352006,110446,89111,9036,20986,18087,46324
miss,160890,2444,3225,6447,53131,701658,12671,25635,5355,3,3,0,1405,3,2,520.23,1,1,2,1,0,0,0,2,379277,335407,95433,85659,11808,21548,12908,57059
miss,161423,2560,3399,6499,53158,715710,12651,24683,5331,3,3,0,1133,3,1,463.34,1,0,2,1,0,0,0,2,374047,330398,105092,85185,12070,23818,7232,43760
miss,161713,2411,3162,6471,53355,689534,12715,24262,5411,3,3,0,1081,3,1,440.67,1,0,2,1,0,0,0,3,366361,314326,98342,90303,11704,20736,9962,37356
miss,162230,2440,3326,6475,1887,753418,12803,24727,5335,3,3,0,1495,3,1,494.54,1,0,2,1,0,0,0,3,388799,344760,125154,93223,14324,24695,12645,51368
miss,162638,2585,3459,6503,63034,747810,12686,28043,5215,3,3,0,1213,3,1,531.35,1,0,2,1,0,0,0,3,397843,351374,95448,89443,8913,30533,12654,52233
miss,163350,2600,3210,6451,53967,750214,13026,24143,5463,3,3,0,1063,3,1,519.28,1,0,2,1,0,0,0,3,409099,364360,111961,95213,11572,27811,12654,47480
miss,164526,2593,3258,6479,55971,765610,12750,24803,5227,3,3,0,1379,3,1,537.54,1,0,2,1,0,0,0,3,429857,375357,111706,96637,11734,31013,22424,43574
miss,165961,2519,3503,6407,1847,789126,12779,23823,5283,3,3,0,1639,3,1,576.54,1,0,2,1,0,0,0,3,437493,385856,101484,99312,11540,32824,18052,51466
miss,166238,2128,2946,6491,56507,566446,12927,27663,10707,3,3,0,2119,3,2,426.74,1,0,2,1,0,0,0,3,312871,268824,71885,76915,3685,8434,12934,44967
miss,166580,1873,2814,6427,1915,553002,12795,25463,5383,3,3,0,1071,3,2,358.26,1,0,2,1,0,0,0,3,283553,247404,72399,68291,8866,11875,3306,38274
miss,166723,2370,3323,6483,1871,732482,12698,27635,5311,3,3,0,2277,3,1,581.03,1,0,2,1,0,0,0,2,422097,375727,93922,92435,11864,44154,15346,58738
